,BKO_no,bis,Jurist_name,Number_of_books,Work_title
0,1,,Ulpianus,51,ad Sabinum
1,2,,Pomponius,36,ad Sabinum
2,3,,Paulus,16,ad Sabinum
3,4,,Ulpianus,81,ad edictum lib. 26–51 init.
4,5,,Paulus,78,ad edictum lib. 28–48 init.
5,6,,Paulus,23,brevium lib. 6–8
6,7,,Gaius,30,ad edictum provinciale lib. 9–18
7,10,,Ulpianus,9,disputationum
8,11,,Ulpianus,10,de omnibus tribunalibus
9,12,,Ulpianus,6,opinionum
10,13,,Ulpianus,6,de censibus (position in mass doubted by M)
11,14,,Iulianus,90,digestorum
12,15,,Alfenus Varus,7,"digestorum (40 dig., IA)"
13,16,,Paulus,8,epitomarum Alfeni digestorum
14,18,,Iulianus,4,ad Urseium Ferocem
15,19,,Iulianus,6,ex Minicio
16,20,,Africanus,9,quaestionum
17,21,,Florentinus,12,institutionum
18,22,,Marcianus,16,institutionum
19,23,,Ulpianus,2,institutionum
20,24,,Gaius,3,"rerum cottidianarum (7 rer. cott., IA)"
21,25,,Gaius,4,institutionum
22,26,,Callistratus,3,institutionum
23,28,,Ulpianus,5,de adulteriis
24,29,,Papininus,2,de adulteriis
25,30,,Papinianus,1,de adulteriis
26,31,,Paulus,3,de adulteriis
27,32,,Ulpianus,1,"de sponsalibus (ID, M; Sab., H)"
28,33,,Paulus,1,de dotis repetitione
29,35,,Paulus,1,"de iure patronatus (ID, M; Sab., H)"
30,36,,Neratius,15,regularum
31,37,,Ulpianus,7,regularum
32,38,,Scaevola,4,regularum
33,39,,Paulus,1,regularum
34,40,,Marcianus,5,regularum lib. 1–2
35,41,,Ulpianus,2,responsorum
36,42,,Marcianus,5,regularum lib. 3–4
37,43,,Paulus,7,regularum
38,44,,Marcianus,5,regularum lib. 5
39,45,,Pomponius,1,regularum
40,46,,Ulpianus,1,regularum
41,47,,Ulpianus,10,de officio proconsulis
42,48,,Paulus,1,"ad SC Silanianum (ID, M; Sab., H)"
43,49,,Paulus,1,de portionibus quae liberis damnatorum conceduntur
44,51,,Paulus,1,de conceptione formularum
45,52,,Macer,2,publicorum iudiciorum
46,53,,Venuleius,3,de iudiciis publicis
47,54,,Paulus,1,de iudiciis publicis
48,55,,Marcianus,2,de iudiciis publicis
49,56,,Maecianus,14,de iudiciis publicis
50,57,,Marcianus,1,ad formulam hypothecariam
51,58,,Gaius,1,de formula hypothecaria
52,59,,Marcellus,1,responsorum (to 46 bis)
53,60,,Neratius,7,membranarum
54,61,,Macer,2,de officio praesidis
55,62,,Arcadius Charisius,1,de testibus
56,63,,Marcianus,1,de delatoribus
57,64,,Ulpianus,4,de appellationibus
58,65,,Macer,2,de appellationibus
59,66,,Marcianus,2,de appellationibus
60,67,,Paulus,1,de appellationibus
61,68,,Rutilius,1,ad legem Falcidiam
62,69,,Paulus,1,ad legem Fufiam Caniniam
63,69,,Paulus,3,ad legem Aeliam Sentiam
64,70,,Ulpianus,4,ad legem Aeliam Sentiam
65,72,,Paulus,1,de libertatibus dandis
66,73,,Paulus,1,de liberali causa
67,74,,Paulus,1,de secundis tabulis
68,75,,Paulus,1,de iure codicillorum
69,76,,Paulus,1,de centumviralibus iudiciis
70,77,,Paulus,1,de adulteriis
71,78,,Paulus,1,"de senatusconsultis (ID, M; S or P, H)"
72,79,,Paulus,1,"ad SC Velleianum (ID, M; S or P, H)"
