,Work_id,Work_label,Jurist_id,Mid_date
0,0,Afr. quaest.,1,150
1,1,Alf. dig.,2,-41
2,2,Aquila. resp.,13,208
3,3,Arcad. l. s. de mun. civil.,3,321
4,4,Arcad. l. s. de off. praef. pr.,3,321
5,5,Arcad. l. s. de test.,3,321
6,6,Call. de cogn.,5,205
7,7,Call. de iure fisci.,5,205
8,8,Call. ed. monit.,5,205
9,9,Call. inst.,5,205
10,10,Call. quaest.,5,205
11,11,Call. x.,5,205
12,12,Cels. dig.,6,110
13,13,Claud. not. ad Scaev. dig.,33,200
14,14,Clem. ad leg. Iul. et Pap.,31,150
15,15,Flor. inst.,7,180
16,16,Furius ad ed.,12,129
17,17,Gai. 1 ad ed. provinc.,9,165
18,18,Gai. ad ed. aedil. curul.,9,165
19,19,Gai. ad ed. provinc.,9,165
20,20,Gai. ad ed. pu.,9,165
21,21,Gai. ad ed. pu. de liberali causa.,9,165
22,22,Gai. ad ed. pu. de praediator.,9,165
23,23,Gai. ad ed. pu. de publicanis.,9,165
24,24,Gai. ad ed. pu. de re iudicata.,9,165
25,25,Gai. ad ed. pu. q. n. s. n. d.,9,165
26,26,Gai. ad ed. urbicum.,9,165
27,27,Gai. ad l. XII tab.,9,165
28,28,Gai. ad leg. Iul. et Pap.,9,165
29,29,Gai. de legatis ad ed. provinc.,9,165
30,30,Gai. de legatis ad ed. urb.,9,165
31,31,Gai. de manumiss.,9,165
32,32,Gai. de testam. ad ed. pu.,9,165
33,33,Gai. de verb. oblig.,9,165
34,34,Gai. fideicomm.,9,165
35,35,Gai. inst.,9,165
36,36,Gai. l. s. ad l. Glitiam.,9,165
37,37,Gai. l. s. ad sc Orfit.,9,165
38,38,Gai. l. s. ad sc Tert.,9,165
39,39,Gai. l. s. de casib.,9,165
40,40,Gai. l. s. de form. hypoth.,9,165
41,41,Gai. l. s. de tac. fideicomm.,9,165
42,42,Gai. l. s. reg.,9,165
43,43,Gai. reg.,9,165
44,44,Gai. rer. cott.,9,165
45,45,Gallus. de verb. sign.,0,-47
46,46,Hermog. iuris epit.,10,345
47,47,Iav. ad Plaut.,11,102
48,48,Iav. epist.,11,102
49,49,Iav. ex Cass.,11,102
50,50,Iav. ex post. Labeonis.,11,102
51,51,Iul. ad Urs. Ferocem.,12,129
52,52,Iul. ad ed.,12,129
53,53,Iul. dig.,12,129
54,54,Iul. ex Minic.,12,129
55,55,Iul. l. s. de ambig.,12,129
56,56,Lab. pith.,14,-62
57,57,Licin. reg.,15,248
58,58,Macer. ad l. vices.,16,230
59,59,Macer. de appellat.,16,230
60,60,Macer. de off. praesid.,16,230
61,61,Macer. de publ. iudic.,16,230
62,62,Macer. de re milit.,16,230
63,63,Maec. de publ. iudic.,17,135
64,64,Maec. ex l. Rhodia.,17,135
65,65,Maec. fideicomm.,17,135
66,66,Marcell. ad leg. Iul. et Pap.,18,145
67,67,Marcell. de off. praesid.,18,145
68,68,Marcell. dig.,18,145
69,69,Marcell. l. s. resp.,18,145
70,70,Marcell. not. ad Iul. dig.,18,145
71,71,Marcell. not. ad Pomp. l. s. reg.,18,145
72,72,Marcell. publ.,18,145
73,73,Marcian. de adult.,19,225
74,74,Marcian. de appellat.,19,225
75,75,Marcian. de publ. iudic.,19,225
76,76,Marcian. dig.,19,225
77,77,Marcian. inst.,19,225
78,78,Marcian. l. s. ad form. hypoth.,19,225
79,79,Marcian. l. s. ad sc Turpill.,19,225
80,80,Marcian. l. s. de delator.,19,225
81,81,Marcian. not. ad Pap. adult.,19,225
82,82,Marcian. reg.,19,225
83,83,Marcian. x.,19,225
84,84,Mauric. ad leg. Iul. et Pap.,20,175
85,85,Mauric. de poen.,20,175
86,86,Men. de re milit.,4,191
87,87,Mod. ad Q. Muc.,21,230
88,88,Mod. de poen.,21,230
89,89,Mod. de praescr.,21,230
90,90,Mod. diff.,21,230
91,91,Mod. excus.,21,230
92,92,Mod. l. s. de diff. dotis.,21,230
93,93,Mod. l. s. de enucl. cas.,21,230
94,94,Mod. l. s. de heuremat.,21,230
95,95,Mod. l. s. de inoff. testam.,21,230
96,96,Mod. l. s. de manumiss.,21,230
97,97,Mod. l. s. de praescr.,21,230
98,98,Mod. l. s. de ritu nupt.,21,230
99,99,Mod. pand.,21,230
100,100,Mod. reg.,21,230
101,101,Mod. resp.,21,230
102,102,Muc. l. s. horon.,29,-105
103,103,Ner. membr.,22,110
104,104,Ner. reg.,22,110
105,105,Ner. resp.,22,110
106,106,Pap. de adult.,23,192
107,107,Pap. de cura urb.,23,192
108,108,Pap. def.,23,192
109,109,Pap. l. s. de adult.,23,192
110,110,Pap. quaest.,23,192
111,111,Pap. resp.,23,192
112,112,Papir. const.,24,170
113,113,Paul. ad Ner.,25,208
114,114,Paul. ad Plaut.,25,208
115,115,Paul. ad Sab.,25,208
116,116,Paul. ad Vitell.,25,208
117,117,Paul. ad ed.,25,208
118,118,Paul. ad ed. aedil. curul.,25,208
119,119,Paul. ad l. Aeliam Sentiam.,25,208
120,120,Paul. ad leg. Iul. et Pap.,25,208
121,121,Paul. ad leg. Iuliam.,25,208
122,122,Paul. brev.,25,208
123,123,Paul. de adult.,25,208
124,124,Paul. de cens.,25,208
125,125,Paul. de iure fisci.,25,208
126,126,Paul. de off. procons.,25,208
127,127,Paul. decr.,25,208
128,128,Paul. epit. Alf.,25,208
129,129,Paul. fideicomm.,25,208
130,130,Paul. imp. sent. i. c. p.,25,208
131,131,Paul. inst.,25,208
132,132,Paul. l. s. ad l. Cinc.,25,208
133,133,Paul. l. s. ad l. Falcid.,25,208
134,134,Paul. l. s. ad l. Fuf. Canin.,25,208
