,BKO_id,BKO_label,Jurist_id,Mid_date
0,0,Afr. quaest.,1,150
1,1,Alf. dig.,2,-41
2,2,Aquila. resp.,13,208
3,3,Arcad. l. s. de mun. civil.,3,321
4,4,Arcad. l. s. de off. praef. pr.,3,321
5,5,Arcad. l. s. de test.,3,321
6,6,Call. de cogn.,5,205
7,7,Call. de iure fisci.,5,205
8,8,Call. ed. monit.,5,205
9,9,Call. inst.,5,205
10,10,Call. quaest.,5,205
11,11,Call. x.,5,205
12,12,Cels. dig.,6,110
13,13,Claud. not. ad Scaev. dig.,33,200
14,14,Clem. ad leg. Iul. et Pap.,31,150
15,15,Flor. inst.,7,180
16,16,Furius ad ed.,8,205
17,17,"Gai. 1-8, 19 ad ed. provinc.",9,165
18,18,Gai. 20 ad ed. provinc.,9,165
19,19,Gai. 21-30 ad ed. provinc.,9,165
20,20,Gai. 9-18 ad ed. provinc.,9,165
21,21,Gai. ad ed. aedil. curul.,9,165
22,22,Gai. ad ed. pu.,9,165
23,23,Gai. ad ed. pu. de liberali causa.,9,165
24,24,Gai. ad ed. pu. de praediator.,9,165
25,25,Gai. ad ed. pu. de publicanis.,9,165
26,26,Gai. ad ed. pu. de re iudicata.,9,165
27,27,Gai. ad ed. pu. q. n. s. n. d.,9,165
28,28,Gai. ad ed. urbicum.,9,165
29,29,Gai. ad l. XII tab.,9,165
30,30,Gai. ad leg. Iul. et Pap.,9,165
31,31,Gai. de legatis ad ed. provinc.,9,165
32,32,Gai. de legatis ad ed. urb.,9,165
33,33,Gai. de manumiss.,9,165
34,34,Gai. de testam. ad ed. pu.,9,165
35,35,Gai. de verb. oblig.,9,165
36,36,Gai. fideicomm.,9,165
37,37,Gai. inst.,9,165
38,38,Gai. l. s. ad l. Glitiam.,9,165
39,39,Gai. l. s. ad sc Orfit.,9,165
40,40,Gai. l. s. ad sc Tert.,9,165
41,41,Gai. l. s. de casib.,9,165
42,42,Gai. l. s. de form. hypoth.,9,165
43,43,Gai. l. s. de tac. fideicomm.,9,165
44,44,Gai. l. s. reg.,9,165
45,45,Gai. reg.,9,165
46,46,Gai. rer. cott.,9,165
47,47,Gallus. de verb. sign.,0,-47
48,48,Hermog. 1 iuris epit.,10,345
49,49,Hermog. 2 iuris epit.,10,345
50,50,Hermog. 3 iuris epit.,10,345
51,51,Hermog. 4 iuris epit.,10,345
52,52,Hermog. 5-6 iuris epit.,10,345
53,53,Iav. 1 ad Plaut.,11,102
54,54,Iav. 2 ad Plaut.,11,102
55,55,Iav. 3-5 ad Plaut.,11,102
56,56,Iav. epist.,11,102
57,57,Iav. ex Cass.,11,102
58,58,Iav. ex post. Labeonis.,11,102
59,59,Iul. ad Urs. Ferocem.,12,129
60,60,Iul. ad ed.,12,129
61,61,Iul. dig.,12,129
62,62,Iul. ex Minic.,12,129
63,63,Iul. l. s. de ambig.,12,129
64,64,Lab. pith.,14,-62
65,65,Licin. reg.,15,248
66,66,Macer. ad l. vices.,16,230
67,67,Macer. de appellat.,16,230
68,68,Macer. de off. praesid.,16,230
69,69,Macer. de publ. iudic.,16,230
70,70,Macer. de re milit.,16,230
71,71,Maec. 1-8 fideicomm.,17,135
72,72,Maec. 9-16 fideicomm.,17,135
73,73,Maec. de publ. iudic.,17,135
74,74,Maec. ex l. Rhodia.,17,135
75,75,Marcell. ad leg. Iul. et Pap.,18,145
76,76,Marcell. de off. praesid.,18,145
77,77,Marcell. dig.,18,145
78,78,Marcell. l. s. resp.,18,145
79,79,Marcell. not. ad Iul. dig.,18,145
80,80,Marcell. not. ad Pomp. l. s. reg.,18,145
81,81,Marcell. publ.,18,145
82,82,Marcian. 1-2 reg.,19,225
83,83,Marcian. 3-4 reg.,19,225
84,84,Marcian. 5 reg.,19,225
85,85,Marcian. de adult.,19,225
86,86,Marcian. de appellat.,19,225
87,87,Marcian. de publ. iudic.,19,225
88,88,Marcian. dig.,19,225
89,89,Marcian. inst.,19,225
90,90,Marcian. l. s. ad form. hypoth.,19,225
91,91,Marcian. l. s. ad sc Turpill.,19,225
92,92,Marcian. l. s. de delator.,19,225
93,93,Marcian. not. ad Pap. adult.,19,225
94,94,Marcian. x.,19,225
95,95,Mauric. ad leg. Iul. et Pap.,20,175
96,96,Mauric. de poen.,20,175
97,97,Men. de re milit.,4,191
98,98,Mod. ad Q. Muc.,21,230
99,99,Mod. de poen.,21,230
100,100,Mod. de praescr.,21,230
101,101,Mod. diff.,21,230
102,102,Mod. excus.,21,230
103,103,Mod. l. s. de diff. dotis.,21,230
104,104,Mod. l. s. de enucl. cas.,21,230
105,105,Mod. l. s. de heuremat.,21,230
106,106,Mod. l. s. de inoff. testam.,21,230
107,107,Mod. l. s. de manumiss.,21,230
108,108,Mod. l. s. de praescr.,21,230
109,109,Mod. l. s. de ritu nupt.,21,230
110,110,Mod. pand.,21,230
111,111,Mod. reg.,21,230
112,112,Mod. resp.,21,230
113,113,Muc. l. s. horon.,29,-105
114,114,Ner. membr.,22,110
115,115,Ner. reg.,22,110
116,116,Ner. resp.,22,110
117,117,Pap. de adult.,23,192
118,118,Pap. de cura urb.,23,192
119,119,Pap. def.,23,192
120,120,Pap. l. s. de adult.,23,192
121,121,Pap. quaest.,23,192
122,122,Pap. resp.,23,192
123,123,Papir. const.,24,170
124,124,Paul. 1-14 ad Plaut.,25,208
125,125,Paul. 1-2 fideicomm.,25,208
126,126,Paul. 1-2 sent.,25,208
127,127,Paul. 1-27 ad ed.,25,208
128,128,Paul. 1-5 brev.,25,208
129,129,Paul. 1-7 resp.,25,208
130,130,Paul. 15-18 ad Plaut.,25,208
131,131,Paul. 16 brev.,25,208
132,132,Paul. 16-19 resp.,25,208
