,Section_id,Section_title
0,0,DE IUSTITIA ET IURE
20,1,DE ORIGINE IURIS ET OMNIUM MAGISTRATUUM ET SUCCESSIONE PRUDENTIUM
75,2,DE LEGIBUS SENATUSQUE CONSULTIS ET LONGA CONSUETUDINE
117,3,DE CONSTITUTIONIBUS PRINCIPUM
123,4,DE STATU HOMINUM
156,5,DE HIS QUI SUI VEL ALIENI IURIS SUNT
170,6,DE ADOPTIONIBUS ET EMANCIPATIONIBUS ET ALIIS MODIS QUIBUS POTESTAS SOLVITUR
236,7,DE DIVISIONE RERUM ET QUALITATE
263,8,DE SENATORIBUS
280,9,DE OFFICIO CONSULIS
283,10,DE OFFICIO PRAEFECTI PRAETORIO
286,11,DE OFFICIO PRAEFECTI URBI
303,12,DE OFFICIO QUAESTORIS
308,13,DE OFFICIO PRAETORUM
312,14,DE OFFICIO PRAEFECTI VIGILUM
321,15,DE OFFICIO PROCONSULIS ET LEGATI
356,16,DE OFFICIO PRAEFECTI AUGUSTALIS
357,17,DE OFFICIO PRAESIDIS
389,18,DE OFFICIO PROCURATORIS CAESARIS VEL RATIONALIS
396,19,DE OFFICIO IURIDICI
398,20,DE OFFICIO EIUS
407,21,DE OFFICIO ADSESSORUM
413,22,DE IURISDICTIONE
442,23,QUOD QUISQUE IURIS IN ALTERUM STATUERIT
455,24,SI QUIS IUS DICENTI NON OBTEMPERAVERIT
460,25,DE IN IUS VOCANDO
504,26,SI QUIS IN IUS VOCATUS NON IERIT SIVE QUIS EUM VOCAVERIT
508,27,IN IUS VOCATI UT EANT AUT SATIS VEL CAUTUM DENT
512,28,NE QUIS EUM QUI IN IUS VOCABITUR VI EXIMAT
529,29,QUI SATISDARE COGANTUR VEL IURATO PROMITTANT VEL SUAE PROMISSIONI COMMITTANTUR
567,30,SI EX NOXALI CAUSA AGATUR
575,31,DE EO PER QUEM FACTUM ERIT QUOMINUS QUIS IN IUDICIO SISTAT
588,32,SI QUIS CAUTIONIBUS IN IUDICIO SISTENDI CAUSA FACTIS NON OBTEMPERAVERIT
623,33,DE FERIIS ET DILATIONIBUS ET DIVERSIS TEMPORIBUS
637,34,DE EDENDO
679,35,DE PACTIS
813,36,DE TRANSACTIONIBUS
862,37,DE POSTULANDO
888,38,DE HIS QUI NOTANTUR INFAMIA
945,39,DE PROCURATORIBUS ET DEFENSORIBUS
1083,40,QUOD CUIUSCUMQUE UNIVERSITATIS NOMINE VEL CONTRA EAM AGATUR
1101,41,DE NEGOTIIS GESTIS
1206,42,DE CALUMNIATORIBUS
1225,43,DE IN INTEGRUM RESTITUTIONIBUS
1234,44,QUOD METUS CAUSA GESTUM ERIT
1298,45,DE DOLO MALO
1373,46,DE MINORIBUS VIGINTI QUINQUE ANNIS
1496,47,DE CAPITE MINUTIS
1518,48,EX QUIBUS CAUSIS MAIORES VIGINTI QUINQUE ANNIS IN INTEGRUM RESTITUUNTUR
1611,49,DE ALIENATIONE IUDICII MUTANDI CAUSA FACTA
1641,50,DE RECEPTIS
1770,51,NAUTAE CAUPONES STABULARII UT RECEPTA RESTITUANT
1803,52,DE IUDICIIS
1929,53,DE INOFFICIOSO TESTAMENTO
2010,54,DE HEREDITATIS PETITIONE
2167,55,SI PARS HEREDITATIS PETATUR
2184,56,DE POSSESSORIA HEREDITATIS PETITIONE
2186,57,DE FIDEICOMMISSARIA HEREDITATIS PETITIONE
2191,58,DE REI VINDICATIONE
2310,59,DE PUBLICIANA IN REM ACTIONE
2372,60,SI AGER VECTIGALIS
2376,61,DE USU FRUCTU ET QUEMADMODUM QUIS UTATUR FRUATUR
2528,62,DE USU FRUCTU ADCRESCENDO
2548,63,QUANDO DIES USUS FRUCTUS LEGATI CEDAT
2553,64,QUIBUS MODIS USUS FRUCTUS VEL USUS AMITTITUR
2608,65,DE USU FRUCTU EARUM RERUM
2625,66,SI USUS FRUCTUS PETETUR VEL AD ALIUM PERTINERE NEGETUR
2640,67,DE OPERIS SERVORUM
2649,68,DE USU ET HABITATIONE
2694,69,USUFRUCTUARIUS QUEMADMODUM CAVEAT
2725,70,DE SERVITUTIBUS
2752,71,DE SERVITUTIBUS PRAEDIORUM URBANORUM
2814,72,DE SERVITUTIBUS PRAEDIORUM RUSTICORUM
2873,73,COMMUNIA PRAEDIORUM TAM URBANORUM QUAM RUSTICORUM
2898,74,SI SERVITUS VINDICETUR VEL AD ALIUM PERTINERE NEGETUR
2950,75,QUEMADMODUM SERVITUTES AMITTUNTUR
2983,76,SI QUADRUPES PAUPERIEM FECISSE DICATUR
3006,77,AD LEGEM AQUILIAM
3180,78,DE HIS
3213,79,DE NOXALIBUS ACTIONIBUS
3292,80,FINIUM REGUNDORUM
3318,81,FAMILIAE ERCISCUNDAE
3458,82,COMMUNI DIVIDUNDO
3536,83,AD EXHIBENDUM
3600,84,DE INTERROGATIONIBUS IN IURE FACIENDIS ET INTERROGATORIIS ACTIONIBUS
3652,85,DE QUIBUS REBUS AD EUNDEM IUDICEM EATUR
3654,86,DE SERVO CORRUPTO
3696,87,DE FUGITIVIS
3709,88,DE ALEATORIBUS
3720,89,SI MENSOR FALSUM MODUM DIXERIT
3742,90,DE RELIGIOSIS ET SUMPTIBUS FUNERUM ET UT FUNUS DUCERE LICEAT
3839,91,DE MORTUO INFERENDO ET SEPULCHRO AEDIFICANDO
3856,92,DE REBUS CREDITIS SI CERTUM PETETUR ET DE CONDICTIONE
3924,93,DE IUREIURANDO SIVE VOLUNTARIO SIVE NECESSARIO SIVE IUDICIALI
4024,94,DE IN LITEM IURANDO
4043,95,DE CONDICTIONE CAUSA DATA CAUSA NON SECUTA
4075,96,DE CONDICTIONE OB TURPEM VEL INIUSTAM CAUSAM
4093,97,DE CONDICTIONE INDEBITI
4215,98,DE CONDICTIONE SINE CAUSA
4224,99,DE CONDICTIONE FURTIVA
4256,100,DE CONDICTIONE EX LEGE
4257,101,DE CONDICTIONE TRITICIARIA
4262,102,DE EO QUOD CERTO LOCO DARI OPORTET
4282,103,DE PECUNIA CONSTITUTA
4350,104,COMMODATI VEL CONTRA
4411,105,DE PIGNERATICIA ACTIONE VEL CONTRA
4498,106,DE EXERCITORIA ACTIONE
4539,107,DE LEGE RODIA DE IACTU
4562,108,DE INSTITORIA ACTIONE
4620,109,DE TRIBUTORIA ACTIONE
4665,110,QUOD CUM EO
4681,111,DE SENATUS CONSULTO MACEDONIANO
4729,112,DE PECULIO
4885,113,QUANDO DE PECULIO ACTIO ANNALIS EST
4899,114,DE IN REM VERSO
4952,115,QUOD IUSSU
4969,116,AD SENATUS CONSULTUM VELLEIANUM
5049,117,DE COMPENSATIONIBUS
5080,118,DEPOSITI VEL CONTRA
5178,119,MANDATI VEL CONTRA
5370,120,PRO SOCIO
5523,121,DE CONTRAHENDA EMPTIONE ET DE PACTIS INTER EMPTOREM ET VENDITOREM COMPOSITIS ET QUAE RES VENIRE NON POSSUNT
5665,122,DE IN DIEM ADDICTIONE
5701,123,DE LEGE COMMISSORIA
5715,124,DE HEREDITATE VEL ACTIONE VENDITA
5763,125,DE RESCINDENDA VENDITIONE ET QUANDO LICET AB EMPTIONE DISCEDERE
5777,126,DE PERICULO ET COMMODO REI VENDITAE
5809,127,DE SERVIS EXPORTANDIS
5820,128,DE ACTIONIBUS EMPTI VENDITI
5977,129,LOCATI CONDUCTI
6127,130,DE AESTIMATORIA
6130,131,DE RERUM PERMUTATIONE
6136,132,DE PRAESCRIPTIS VERBIS ET IN FACTUM ACTIONIBUS
6183,133,DE PIGNORIBUS ET HYPOTHECIS ET QUALITER EA CONTRAHANTUR ET DE PACTIS EORUM
6259,134,IN QUIBUS CAUSIS PIGNUS VEL HYPOTHECA TACITE CONTRAHITUR
6273,135,QUAE RES PIGNORI VEL HYPOTHECAE DATAE OLBIGARI NON POSSUNT
6280,136,QUI POTIORES IN PIGNORE VEL HYPOTHECA HABEANTUR ET DE HIS QUI IN PRIORUM CREDITORUM LOCUM SUCCEDUNT
6325,137,DE DISTRACTIONE PIGNORUM ET HYPOTHECARUM
6345,138,QUIBUS MODIS PIGNUS VEL HYPOTHECA SOLVITUR
6396,139,DE AEDILICIO EDICTO ET REDHIBITIONE ET QUANTI MINORIS
6625,140,DE EVICTIONIBUS ET DUPLAE STIPULATIONE
6764,141,DE EXCEPTIONE REI VENDITAE ET TRADITAE
6773,142,DE USURIS ET FRUCTIBUS ET CAUSIS ET OMNIBUS ACCESSIONIBUS ET MORA
6876,143,DE NAUTICO FAENORE
6887,144,DE PROBATIONIBUS ET PRAESUMPTIONIBUS
6928,145,DE FIDE INSTRUMENTORUM ET AMISSIONE EORUM
6934,146,DE TESTIBUS
6972,147,DE IURIS ET FACTI IGNORANTIA
6993,148,DE SPONSALIBUS
7014,149,DE RITU NUPTIARUM
7154,150,DE IURE DOTIUM
7308,151,DE PACTIS DOTALIBUS
7357,152,DE FUNDO DOTALI
7390,153,DE DONATIONIBUS INTER VIRUM ET UXOREM
7574,154,DE DIVORTIIS ET REPUDIIS
7590,155,SOLUTO MATRIMONIO DOS QUEMADMODUM PETATUR
7735,156,DE INPENSIS IN RES DOTALES FACTIS
7761,157,DE ACTIONE RERUM AMOTARUM
7816,158,DE AGNOSCENDIS ET ALENDIS LIBERIS VEL PARENTIBUS VEL PATRONIS VEL LIBERTIS
7874,159,DE INSPICIENDO VENTRE CUSTODIENDOQUE PARTU
7894,160,SI VENTRIS NOMINE MULIERE IN POSSESSIONEM MISSA EADEM POSSESSIO DOLO MALO AD ALIUM TRANSLATA ESSE DICATUR
7902,161,SI MULIER VENTRIS NOMINE IN POSSESSIONE CALUMNIAE CAUSA ESSE DICETUR
7915,162,DE CONCUBINIS
7925,163,DE TUTELIS
7963,164,DE TESTAMENTARIA TUTELA
8029,165,DE CONFIRMANDO TUTORE VEL CURATORE
8046,166,DE LEGITIMIS TUTORIBUS
8076,167,DE TUTORIBUS ET CURATORIBUS DATIS AB HIS QUI IUS DANDI HABENT
8123,168,QUI PETANT TUTORES VEL CURATORES ET UBI PETANTUR
8137,169,DE ADMINISTRATIONE ET PERICULO TUTORUM ET CURATORUM QUI GESSERINT VEL NON ET DE AGENTIBUS VEL CONVENIENDIS UNO VEL PLURIBUS
8312,170,DE AUCTORITATE ET CONSENSU TUTORUM ET CURATORUM
8349,171,QUANDO EX FACTO TUTORIS VEL CURATORIS MINORES AGERE VEL CONVENIRI POSSUNT
8358,172,DE SUSPECTIS TUTORIBUS ET CURATORIBUS
8403,173,DE EXCUSATIONIBUS
8575,174,UBI PUPILLUS EDUCARI VEL MORARI DEBEAT ET DE ALIMENTIS EI PRAESTANDIS
8593,175,DE TUTELAE ET RATIONIBUS DISTRAHENDIS ET UTILI CURATIONIS CAUSA ACTIONE
8657,176,DE CONTRARIA TUTELAE ET UTILI ACTIONE
8680,177,DE EO QUI PRO TUTORE PROVE CURATORE NEGOTIA GESSIT
8694,178,QUOD FALSO TUTORE AUCTORE GESTUM ESSE DICATUR
8721,179,DE FIDEIUSSORIBUS ET NOMINATORIBUS ET HEREDIBUS TUTORUM ET CURATORUM
8734,180,DE MAGISTRATIBUS CONVENIENDIS
8760,181,DE REBUS EORUM
8809,182,DE CURATORIBUS FURIOSO ET ALIIS EXTRA MINORES DANDIS
8835,183,QUI TESTAMENTA FACERE POSSUNT ET QUEMADMODUM TESTAMENTA FIANT
8896,184,DE LIBERIS ET POSTUMIS HEREDIBUS INSTITUENDIS VEL EXHEREDANDIS
8967,185,DE INIUSTO RUPTO IRRITO FACTO TESTAMENTO
9010,186,DE HIS QUAE IN TESTAMENTO DELENTUR INDUCUNTUR VEL INSCRIBUNTUR
9019,187,DE HEREDIBUS INSTITUENDIS
9216,188,DE VULGARI ET PUPILLARI SUBSTITUTIONE
9311,189,DE CONDICIONIBUS INSTITUTIONUM
9354,190,DE IURE DELIBERANDI
9371,191,DE TESTAMENTO MILITIS
9458,192,DE ADQUIRENDA VEL OMITTENDA HEREDITATE
9647,193,TESTAMENTA QUEMADMODUM APERIUNTUR INSPICIANTUR ET DESCRIBANTUR
9671,194,SI QUIS OMISSA CAUSA TESTAMENTI AB INTESTATO VEL ALIO MODO POSSIDEAT HEREDITATEM
9739,195,DE SENATUS CONSULTO SILANIANO ET CLAUDIANO
9850,196,SI QUIS ALIQUEM TESTARI PROHIBUERIT VEL COEGERIT
9857,197,DE IURE CODICILLORUM
9896,198,DE LEGATIS ET FIDEICOMMISSIS
10286,199,DE LEGATIS ET FIDEICOMMISSIS
10527,200,DE LEGATIS ET FIDEICOMMISSIS
10848,201,DE ANNUIS LEGATIS ET FIDEICOMMISSIS
10893,202,DE USU ET USU FRUCTU ET REDITU ET HABITATIONE ET OPERIS PER LEGATUM VEL FIDEICOMMISSUM DATIS
10953,203,DE SERVITUTE LEGATA
10960,204,DE DOTE PRAELEGATA
11000,205,DE OPTIONE VEL ELECTIONE LEGATA
11031,206,DE TRITICO VINO VEL OLEO LEGATO
11056,207,DE INSTRUCTO VEL INSTRUMENTO LEGATO
11176,208,DE PECULIO LEGATO
11224,209,DE PENU LEGATA
11249,210,DE SUPPELLECTILE LEGATA
11274,211,DE ALIMENTIS VEL CIBARIIS LEGATIS
11321,212,DE AURO ARGENTO MUNDO ORNAMENTIS UNGUENTIS VESTE VEL VESTIMENTIS ET STATUIS LEGATIS
11428,213,DE LIBERATIONE LEGATA
11507,214,DE ADIMENDIS VEL TRANSFERENDIS LEGATIS VEL FIDEICOMMISSIS
11566,215,DE REBUS DUBIIS
11613,216,DE HIS QUAE POENAE CAUSA RELINQUUNTUR
11615,217,DE REGULA CATONIANA
11622,218,DE HIS QUAE PRO NON SCRIPTIS HABENTUR
11630,219,DE HIS QUAE UT INDIGNIS AUFERUNTUR
11686,220,DE CONDICIONIBUS ET DEMONSTRATIONIBUS ET CAUSIS ET MODIS EORUM
11881,221,AD LEGEM FALCIDIAM
12090,222,SI CUI PLUS
12127,223,AD SENATUS CONSULTUM TREBELLIANUM
12399,224,QUANDO DIES LEGATORUM VEL FIDEICOMMISSORUM CEDAT
12470,225,UT LEGATORUM SEU FIDEICOMMISSORUM SERVANDORUM CAUSA CAVEATUR
12518,226,UT IN POSSESSIONEM LEGATORUM VEL FIDEICOMMISSORUM SERVANDORUM CAUSA ESSE LICEAT
12573,227,DE BONORUM POSSESSIONIBUS
12603,228,SI TABULAE TESTAMENTI EXTABUNT
12604,229,DE BONORUM POSSESSIONE FURIOSO INFANTI MUTO SURDO CAECO COMPETENTE
12606,230,DE BONORUM POSSESSIONE CONTRA TABULAS
12691,231,DE LEGATIS PRAESTANDIS CONTRA TABULAS BONORUM POSSESSIONE PETITA
12750,232,DE COLLATIONE BONORUM
12804,233,DE DOTIS COLLATIONE
12823,234,DE CONIUNGENDIS CUM EMANCIPATO LIBERIS EIUS
12847,235,DE VENTRE IN POSSESSIONEM MITTENDO ET CURATORE EIUS
12889,236,DE CARBONIANO EDICTO
12952,237,DE BONORUM POSSESSIONE SECUNDUM TABULAS
12991,238,SI A PARENTE QUIS MANUMISSUS SIT
13003,239,DE BONORUM POSSESSIONE EX TESTAMENTO MILITIS
13006,240,DE IURE PATRONATUS
13046,241,DE OBSEQUIIS PARENTIBUS ET PATRONIS PRAESTANDIS
13067,242,DE OPERIS LIBERTORUM
13162,243,DE BONIS LIBERTORUM
13308,244,DE LIBERTIS UNIVERSITATIUM
13311,245,DE ADSIGNANDIS LIBERTIS
13345,246,SI QUID IN FRAUDEM PATRONI FACTUM SIT
13393,247,SI TABULAE TESTAMENTI NULLAE EXTABUNT
13414,248,UNDE LEGITIMI
13425,249,UNDE COGNATI
13447,250,DE SUCCESSORIO EDICTO
13465,251,DE GRADIBUS ET ADFINIBUS ET NOMINIBUS EORUM
13514,252,UNDE VIR ET UXOR
13516,253,DE VETERANORUM ET MILITUM SUCCESSIONE
13518,254,QUIBUS NON COMPETIT BONORUM POSSESSIO
13519,255,UT EX LEGIBUS SENATUSVE CONSULTIS BONORUM POSSESSIO DETUR
13522,256,QUIS ORDO IN POSSESSIONIBUS SERVETUR
13537,257,DE SUIS ET LEGITIMIS HEREDIBUS
13584,258,AD SENATUS CONSULTUM TERTULLIANUM ET ORPHITIANUM
13657,259,DE OPERIS NOVI NUNTIATIONE
13758,260,DE DAMNO INFECTO ET DE SUGGRUNDIS ET PROIECTIONIBUS
13927,261,DE AQUA ET AQUAE PLUVIAE ARCENDAE
14028,262,DE PUBLICANIS ET VECTIGALIBUS ET COMMISSIS
14093,263,DE DONATIONIBUS
14169,264,DE MORTIS CAUSA DONATIONIBUS ET CAPIONIBUS
14233,265,DE MANUMISSIONIBUS
14282,266,DE MANUMISSIS VINDICTA
14323,267,DE MANUMISSIONIBUS QUAE SERVIS AD UNIVERSITATEM PERTINENTIBUS IMPONUNTUR
14326,268,DE MANUMISSIS TESTAMENTO
14417,269,DE FIDEICOMMISSARIIS LIBERTATIBUS
14617,270,DE ADEMPTIONE LIBERTATIS
14618,271,DE STATULIBERIS
14738,272,QUI SINE MANUMISSIONE AD LIBERTATEM PERVENIUNT
14747,273,QUI ET A QUIBUS MANUMISSI LIBERI NON FIUNT ET AD LEGEM AELIAM SENTIAM
14817,274,DE IURE AUREORUM ANULORUM
14824,275,DE NATALIBUS RESTITUENDIS
14830,276,DE LIBERALI CAUSA
14934,277,QUIBUS AD LIBERTATEM PROCLAMARE NON LICET
14940,278,SI INGENUUS ESSE DICETUR
14949,279,NE DE STATU DEFUNCTORUM POST QUINQUENNIUM QUAERATUR
14959,280,DE COLLUSIONE DETEGENDA
14969,281,DE ADQUIRENDO RERUM DOMINIO
15117,282,DE ADQUIRENDA VEL AMITTENDA POSSESSIONE
15271,283,DE USURPATIONIBUS ET USUCAPIONIBUS
15387,284,PRO EMPTORE
15433,285,PRO HEREDE VEL PRO POSSESSORE
15439,286,PRO DONATO
15447,287,PRO DERELICTO
15457,288,PRO LEGATO
15466,289,PRO DOTE
15473,290,PRO SUO
15482,291,DE RE IUDICATA ET DE EFFECTU SENTENTIARUM ET DE INTERLOCUTIONIBUS
15588,292,DE CONFESSIS
15603,293,DE CESSIONE BONORUM
15613,294,QUIBUS EX CAUSIS IN POSSESSIONEM EATUR
15662,295,DE REBUS AUCTORITATE IUDICIS POSSIDENDIS SEU VENDUNDIS
15733,296,DE SEPARATIONIBUS
15762,297,DE CURATORE BONIS DANDO
15774,298,QUAE IN FRAUDEM CREDITORUM FACTA SUNT UT RESTITUANTUR
15851,299,DE INTERDICTIS SIVE EXTRAORDINARIIS ACTIONIBUS
15863,300,QUORUM BONORUM
15866,301,QUOD LEGATORUM
15889,302,NE VIS FIAT EI
15909,303,DE TABULIS EXHIBENDIS
15941,304,NE QUID IN LOCO SACRO FIAT
15947,305,DE LOCIS ET ITINERIBUS PUBLICIS
15951,306,NE QUID IN LOCO PUBLICO VEL ITINERE FIAT
16004,307,DE LOCO PUBLICO FRUENDO
16009,308,DE VIA PUBLICA ET SI QUID IN EA FACTUM ESSE DICATUR
16015,309,DE VIA PUBLICA ET ITINERE PUBLICO REFICIENDO
16022,310,DE FLUMINIBUS
16050,311,NE QUID IN FLUMINE PUBLICO FIAT
16064,312,UT IN FLUMINE PUBLICO NAVIGARE LICEAT
16074,313,DE RIPA MUNIENDA
