Section_id,bow,lemmas
0,"['de', 'iustitia', 'et', 'iure']","[('de', 'de'), ('iustitia', 'iustitia'), ('et', 'et'), ('iure', 'ius')]"
1,"['de', 'origine', 'iuris', 'et', 'omnium', 'magistratuum', 'et', 'successione', 'prudentium']","[('de', 'de'), ('origine', 'origo'), ('iuris', 'ius'), ('et', 'et'), ('omnium', 'omnis'), ('magistratuum', 'magistratus'), ('et', 'et'), ('successione', 'successio'), ('prudentium', 'prudens')]"
2,"['de', 'legibus', 'senatusque', 'consultis', 'et', 'longa', 'consuetudine']","[('de', 'de'), ('legibus', 'lex'), ('senatusque', 'senatus'), ('consultis', 'consulo'), ('et', 'et'), ('longa', 'longus'), ('consuetudine', 'consuetudo')]"
3,"['de', 'constitutionibus', 'principum']","[('de', 'de'), ('constitutionibus', 'constitutio'), ('principum', 'princeps')]"
4,"['de', 'statu', 'hominum']","[('de', 'de'), ('statu', 'status'), ('hominum', 'homo')]"
5,"['de', 'his', 'qui', 'sui', 'vel', 'alieni', 'iuris', 'sunt']","[('de', 'de'), ('his', 'hic'), ('qui', 'qui'), ('sui', 'suus'), ('vel', 'vel'), ('alieni', 'alienus'), ('iuris', 'ius'), ('sunt', 'sum')]"
6,"['de', 'adoptionibus', 'et', 'emancipationibus', 'et', 'aliis', 'modis', 'quibus', 'potestas', 'solvitur']","[('de', 'de'), ('adoptionibus', 'adoptio'), ('et', 'et'), ('emancipationibus', 'emancipatio'), ('et', 'et'), ('aliis', 'alius'), ('modis', 'modus'), ('quibus', 'qui'), ('potestas', 'potestas'), ('solvitur', 'solvo')]"
7,"['de', 'divisione', 'rerum', 'et', 'qualitate']","[('de', 'de'), ('divisione', 'divisio'), ('rerum', 'res'), ('et', 'et'), ('qualitate', 'qualitas')]"
8,"['de', 'senatoribus']","[('de', 'de'), ('senatoribus', 'senator')]"
9,"['de', 'officio', 'consulis']","[('de', 'de'), ('officio', 'officium'), ('consulis', 'consul')]"
