,Work_id,Work_label
0,0,Afr. quaest.
1,1,Alf. dig.
2,2,Aquila. resp.
3,3,Arcad. l. s. de mun. civil.
4,4,Arcad. l. s. de off. praef. pr.
5,5,Arcad. l. s. de test.
6,6,Call. de cogn.
7,7,Call. de iure fisci.
8,8,Call. ed. monit.
9,9,Call. inst.
10,10,Call. quaest.
11,11,Call. x.
12,12,Cels. dig.
13,13,Claud. not. ad Scaev. dig.
14,14,Clem. ad leg. Iul. et Pap.
15,15,Flor. inst.
16,16,Furius ad ed.
17,17,Gai. 1 ad ed. provinc.
18,18,Gai. ad ed. aedil. curul.
19,19,Gai. ad ed. provinc.
20,20,Gai. ad ed. pu.
21,21,Gai. ad ed. pu. de liberali causa.
22,22,Gai. ad ed. pu. de praediator.
23,23,Gai. ad ed. pu. de publicanis.
24,24,Gai. ad ed. pu. de re iudicata.
25,25,Gai. ad ed. pu. q. n. s. n. d.
26,26,Gai. ad ed. urbicum.
27,27,Gai. ad l. XII tab.
28,28,Gai. ad leg. Iul. et Pap.
29,29,Gai. de legatis ad ed. provinc.
30,30,Gai. de legatis ad ed. urb.
31,31,Gai. de manumiss.
32,32,Gai. de testam. ad ed. pu.
33,33,Gai. de verb. oblig.
34,34,Gai. fideicomm.
35,35,Gai. inst.
36,36,Gai. l. s. ad l. Glitiam.
37,37,Gai. l. s. ad sc Orfit.
38,38,Gai. l. s. ad sc Tert.
39,39,Gai. l. s. de casib.
40,40,Gai. l. s. de form. hypoth.
41,41,Gai. l. s. de tac. fideicomm.
42,42,Gai. l. s. reg.
43,43,Gai. reg.
44,44,Gai. rer. cott.
45,45,Gallus. de verb. sign.
46,46,Hermog. iuris epit.
47,47,Iav. ad Plaut.
48,48,Iav. epist.
49,49,Iav. ex Cass.
50,50,Iav. ex post. Labeonis.
51,51,Iul. ad Urs. Ferocem.
52,52,Iul. ad ed.
53,53,Iul. dig.
54,54,Iul. ex Minic.
55,55,Iul. l. s. de ambig.
56,56,Lab. pith.
57,57,Licin. reg.
58,58,Macer. ad l. vices.
59,59,Macer. de appellat.
60,60,Macer. de off. praesid.
61,61,Macer. de publ. iudic.
62,62,Macer. de re milit.
63,63,Maec. de publ. iudic.
64,64,Maec. ex l. Rhodia.
65,65,Maec. fideicomm.
