,Dnp_index,Text,Correction,Note,,,
0,655,"D. 1, 15, 4^, 0 Ulp. l. s. de off. pu. ","D. 1, 15, 4, 0 Ulp. l. s. de off. pu. ","written as “D. 1, 15, 5”  in Mommsen p. 14.",,,
1,1512,"D. 2, 14, 19, 1^ Paul. 3 ad ed. ","D. 2, 14, 19, 1","correction mark removed, no mistake in Mommsen p. 30.",,,
2,1855,"D. 3, 2, 6, 4a ^ Ulp. 6 ad ed. ","D. 3, 2, 6, 4 + ","one text unit is accidentally split into two, 3 and 4 merged into 3, 4a corrected to 4 according to Mommsen p. 37., two lines at index 1853 and 1854 are removed",,,
3,3825,"D. 5, 1, 50, 2^ Ulp. 6 fideicomm. ","D. 5, 1, 50, 2","correction mark removed, no mistake in Mommsen p. 76.",,,
4,4082,"(sive suo nomine sive per se sive per alios effecti sumus,",,"no correction, text appears with an unclosed bracket and a final comma in Mommsen p. 81. → amend passage_pattern and explore the meaning of notation",,,
5,4351,"D. 5, 3, 40, 3^ Paul. 20 ad ed. ","D. 5, 3, 40, 3^ +","one text unit (D. 5, 3, 40, 4) was missing, split D. 5, 3, 40, 2 into two text units according to Mommsen p. 87. and renamed D. 5, 3, 40, 3^ as D. 5, 3, 40, 4",,,
6,5214,(sed et interdictum quod vi aut clam usufructuario competit),,"no correction, text appears within brackets in Mommsen p. 105.",,,
7,6061,"(sive ad fundum nostrum facit, vel ex fundo)",,"no correction, text appears within brackets in Mommsen p. 123.",,,
8,6158,"D. 9, 2, 8, 0^1gai. 7 ad ed. provinc. ","D. 9, 2, 8, 0^ +","text unit split into two (D. 29, 2, 8, 0 and 1) according to Mommsen p. 125.",,,
9,10942,(nam socii mei socius meus socius non est),,"no correction, text appears within brackets in Mommsen p. 223. (D. 17, 2, 20, 0)",,,
10,11176,"(veluti cum lege locationis comprehensum est, ut opus arbitrio locatoris fiat):",,"no correction, text appears within brackets in Mommsen p. 228. (D. 17, 2, 77, 0)",,,
11,11267,"(et quod solverit eo nomine, emptor condicere potest)",,"no correction, text appears within brackets in Mommsen p. 230. (D. 18, 1, 23, 0)",,,
12,11954,"(id est quo puteum operitur),",,"no correction, text appears within brackets in Mommsen p. 246. (D. 19, 1, 14, 0)",,,
