,Jurist_id,Jurist
0,0,Aelius Gallus
1,1,Africanus
2,2,Alfenus Varus
3,3,Arcadius Charisius
4,4,Arrius Menander
5,5,Callistratus
6,6,Celsus
7,7,Claudius
8,8,Claudius Saturninus
9,9,Florentinus
10,10,Furius Anthianus
11,11,Gaius
12,12,Hermogenianus
13,13,Iavolenus
14,14,Iulianus
15,15,Iulius Aquila
16,16,Labeo
17,17,Licinius Rufinus
18,18,Macer
19,19,Maecianus
20,20,Marcellus
21,21,Marcianus
22,22,Mauricianus
23,23,Modestinus
24,24,Neratius
25,25,Papinianus
26,26,Papininus
27,27,Papirius Iustus
28,28,Paulus
29,29,Pomponius
30,30,Proculus
31,31,Quintus Mucius Scaevola
32,32,Rutilius
33,33,Saturninus
34,34,Scaevola
35,35,Tarrutienus Paternus
36,36,Terentius Clemens
37,37,Tertullianus
38,38,Tryphoninus
39,39,Ulpianus
40,40,Valens
41,41,Venuleius Saturninus
42,42,Volusius Maecianus
